tweet_clean,Tweet,sentiment,sentiment_scores,neg,neu,pos,compound,sentiment_label,text_processed_raw,text_processed
"['allah', 'support', 'oppressed', 'brothers', 'gaza', 'everywhere', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah support oppressed brothers gaza everywhere despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,2,"{'neg': 0.157, 'neu': 0.707, 'pos': 0.136, 'compound': -0.1027}",0.157,0.707,0.136,-0.1027,neutral,allah support oppressed brothers gaza everywhere despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,allah support oppressed brother gaza everywhere despite israeli restriction palestinian performed taraweeh prayer evening alaqsamosque ramadan
"['allah', 'swt', 'allowed', 'us', 'reach', 'blessed', 'month', 'ramadan', 'time', 'reflection', 'gratitude', 'strengthening', 'faith', 'may', 'allah', 'swt', 'grant', 'us', 'patience', 'peace', 'forgiveness', '', '', 'muslim', 'brothers', 'sisters', 'around', 'world', '']",allah swt allowed us reach blessed month ramadan time reflection gratitude strengthening faith may allah swt grant us patience peace forgiveness muslim brothers sisters around world,1,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9657}",0.0,0.446,0.554,0.9657,positive,allah swt allowed us reach blessed month ramadan time reflection gratitude strengthening faith may allah swt grant us patience peace forgiveness   muslim brothers sisters around world ,allah swt allowed u reach blessed month ramadan time reflection gratitude strengthening faith may allah swt grant u patience peace forgiveness muslim brother sister around world
"['allah', 'testing', 'patience', 'ramadan']",allah testing patience ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,allah testing patience ramadan,allah testing patience ramadan
"['almost', 'months', 'israel', 'committed', 'war', 'crimes', 'gaza', 'week', 'ramadan', 'blocking', 'aid', 'act', 'collective', 'punishment', 'uk', 'must', 'must', 'apply', 'international', 'law', 'equally', 'states', 'allies', 'human', 'lives', 'equal']",almost months israel committed war crimes gaza week ramadan blocking aid act collective punishment uk must must apply international law equally states allies human lives equal,2,"{'neg': 0.289, 'neu': 0.656, 'pos': 0.055, 'compound': -0.8344}",0.289,0.656,0.055,-0.8344,neutral,almost months israel committed war crimes gaza week ramadan blocking aid act collective punishment uk must must apply international law equally states allies human lives equal,almost month israel committed war crime gaza week ramadan blocking aid act collective punishment uk must must apply international law equally state ally human life equal
"['altaf', 'hussain', 'writes', 'general', 'asim', 'munir', 'chief', 'pakistan', 'army', 'respected', 'chief', 'army', 'staff', 'general', 'hafiz', 'asim', 'munir', 'reiterated', 'many', 'times', 'sacred', 'occasion', 'ramadan']",altaf hussain writes general asim munir chief pakistan army respected chief army staff general hafiz asim munir reiterated many times sacred occasion ramadan,2,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4767}",0.0,0.876,0.124,0.4767,neutral,altaf hussain writes general asim munir chief pakistan army respected chief army staff general hafiz asim munir reiterated many times sacred occasion ramadan,altaf hussain writes general asim munir chief pakistan army respected chief army staff general hafiz asim munir reiterated many time sacred occasion ramadan
"['always', 'good', 'see', 'premier', 'league', 'accommodating', 'players', 'break', 'fast', 'games', 'respect', 'players', 'fast', 'matchday', 'ramadan']",always good see premier league accommodating players break fast games respect players fast matchday ramadan,2,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}",0.0,0.684,0.316,0.7184,neutral,always good see premier league accommodating players break fast games respect players fast matchday ramadan,always good see premier league accommodating player break fast game respect player fast matchday ramadan
"['amazing', 'kitchen', 'ever', 'see', 'ramadan']",amazing kitchen ever see ramadan,2,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.0,0.513,0.487,0.5859,neutral,amazing kitchen ever see ramadan,amazing kitchen ever see ramadan
"['among', 'greatest', 'blessings', 'ramadan', 'able', 'spend', 'mother', 'may', 'allah', 'bless', 'mothers', 'happiness', 'efforts']",among greatest blessings ramadan able spend mother may allah bless mothers happiness efforts,1,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.9337}",0.0,0.39,0.61,0.9337,positive,among greatest blessings ramadan able spend mother may allah bless mothers happiness efforts,among greatest blessing ramadan able spend mother may allah bless mother happiness effort
"['andrew', 'tate', 'spotted', 'las', 'vegas', 'gambling', 'ramadan']",andrew tate spotted las vegas gambling ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,andrew tate spotted las vegas gambling ramadan,andrew tate spotted la vega gambling ramadan
"['announcing', 'days', 'ramadan', 'festival', 'sale', 'ramadan', 'month', 'bringing', 'exclusive', 'collections', 'game', 'developers', 'around', 'world', 'tune', 'featured', 'dos', 'upcomin', 'games', 'games', 'created', 'southeast', 'devs', 'sale', 'page']",announcing days ramadan festival sale ramadan month bringing exclusive collections game developers around world tune featured dos upcomin games games created southeast devs sale page,2,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.6908}",0.0,0.767,0.233,0.6908,neutral,announcing days ramadan festival sale ramadan month bringing exclusive collections game developers around world tune featured dos upcomin games games created southeast devs sale page,announcing day ramadan festival sale ramadan month bringing exclusive collection game developer around world tune featured do upcomin game game created southeast devs sale page
"['another', 'day', 'another', 'iftar', 'served', 'th', 'day', 'ramadan', 'continued', 'delivering', 'meals', 'fasting', 'ensuring', 'families', 'food', 'break', 'fast', 'hunger', 'pause', 'neither', 'support', 'keep', 'providing', 'meals', 'throughout', 'month']",another day another iftar served th day ramadan continued delivering meals fasting ensuring families food break fast hunger pause neither support keep providing meals throughout month,2,"{'neg': 0.145, 'neu': 0.783, 'pos': 0.072, 'compound': -0.2865}",0.145,0.783,0.072,-0.2865,neutral,another day another iftar served th day ramadan continued delivering meals fasting ensuring families food break fast hunger pause neither support keep providing meals throughout month,another day another iftar served th day ramadan continued delivering meal fasting ensuring family food break fast hunger pause neither support keep providing meal throughout month
"['anyone', 'else', 'fancy', 'nice', 'bacon', 'sandwich', 'noon', 'celebrate', 'ramadan']",anyone else fancy nice bacon sandwich noon celebrate ramadan,2,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7579}",0.0,0.519,0.481,0.7579,neutral,anyone else fancy nice bacon sandwich noon celebrate ramadan,anyone else fancy nice bacon sandwich noon celebrate ramadan
"['appeal', 'president', 'asif', 'zardari', 'prime', 'mister', 'shehbaz', 'sharif', 'uphold', 'sanctity', 'holy', 'month', 'ramadan', 'releasing', 'political', 'prisoners', 'including', 'detained', 'mqm', 'workers', 'additionally', 'prisoners', 'across', 'country', 'already', 'served', 'sentences']",appeal president asif zardari prime mister shehbaz sharif uphold sanctity holy month ramadan releasing political prisoners including detained mqm workers additionally prisoners across country already served sentences,2,"{'neg': 0.278, 'neu': 0.687, 'pos': 0.036, 'compound': -0.8442}",0.278,0.687,0.036,-0.8442,neutral,appeal president asif zardari prime mister shehbaz sharif uphold sanctity holy month ramadan releasing political prisoners including detained mqm workers additionally prisoners across country already served sentences,appeal president asif zardari prime mister shehbaz sharif uphold sanctity holy month ramadan releasing political prisoner including detained mqm worker additionally prisoner across country already served sentence
"['approval', 'custodian', 'two', 'holy', 'mosques', 'finest', 'editions', 'holy', 'quran', 'set', 'global', 'distribution', 'ramadan', 'making', 'lasting', 'impact']",approval custodian two holy mosques finest editions holy quran set global distribution ramadan making lasting impact,2,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.4767}",0.0,0.829,0.171,0.4767,neutral,approval custodian two holy mosques finest editions holy quran set global distribution ramadan making lasting impact,approval custodian two holy mosque finest edition holy quran set global distribution ramadan making lasting impact
"['', '', '', '', '', 'arabic', 'word', 'ramadun', 'refers', 'heat', 'sun', 'ramadan', 'person', 'restrains', 'food', 'drink', 'physical', 'pleasures', 'individual', 'develops', 'within', 'burning', 'passion']",arabic word ramadun refers heat sun ramadan person restrains food drink physical pleasures individual develops within burning passion,2,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7096}",0.0,0.731,0.269,0.7096,neutral,     arabic word ramadun refers heat sun ramadan person restrains food drink physical pleasures individual develops within burning passion,arabic word ramadun refers heat sun ramadan person restrains food drink physical pleasure individual develops within burning passion
"['arabs', 'east', 'jerusalem', 'celebrate', 'ramadan', 'tonight', 'beating', 'shit', 'nice', 'culture']",arabs east jerusalem celebrate ramadan tonight beating shit nice culture,0,"{'neg': 0.346, 'neu': 0.314, 'pos': 0.34, 'compound': -0.0258}",0.346,0.314,0.34,-0.0258,negative,arabs east jerusalem celebrate ramadan tonight beating shit nice culture,arab east jerusalem celebrate ramadan tonight beating shit nice culture
"['armed', 'mobs', 'locals', 'brawl', 'outside', 'mosque', 'small', 'heath', 'birmingham', 'ramadan', 'britain', 'broken']",armed mobs locals brawl outside mosque small heath birmingham ramadan britain broken,2,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}",0.22,0.78,0.0,-0.4767,neutral,armed mobs locals brawl outside mosque small heath birmingham ramadan britain broken,armed mob local brawl outside mosque small heath birmingham ramadan britain broken
"['arrived', 'cairo', 'attend', 'tomorrow', 'behalf', 'european', 'union', 'emergency', 'summit', 'league', 'arab', 'states', 'gaza', 'ramadan', 'kareem', 'holy', 'month', 'ramadan']",arrived cairo attend tomorrow behalf european union emergency summit league arab states gaza ramadan kareem holy month ramadan,2,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}",0.133,0.867,0.0,-0.3818,neutral,arrived cairo attend tomorrow behalf european union emergency summit league arab states gaza ramadan kareem holy month ramadan,arrived cairo attend tomorrow behalf european union emergency summit league arab state gaza ramadan kareem holy month ramadan
"['asalamualaikum', 'th', 'sehri', 'mubarak', 'may', 'blessed', 'month', 'bring', 'peace', 'health', 'endless', 'blessings', 'ramadan']",asalamualaikum th sehri mubarak may blessed month bring peace health endless blessings ramadan,1,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.8979}",0.0,0.478,0.522,0.8979,positive,asalamualaikum th sehri mubarak may blessed month bring peace health endless blessings ramadan,asalamualaikum th sehri mubarak may blessed month bring peace health endless blessing ramadan
"['asking', 'water', 'drinks', 'someone', 'said', 'ramadan']",asking water drinks someone said ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,asking water drinks someone said ramadan,asking water drink someone said ramadan
"['assalam', 'walikam', 'good', 'morning', 'everybody', 'beautiful', 'morning', 'wishing', 'happy', 'day', 'ramadan', 'mubarak', '']",assalam walikam good morning everybody beautiful morning wishing happy day ramadan mubarak,1,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.9081}",0.0,0.392,0.608,0.9081,positive,assalam walikam good morning everybody beautiful morning wishing happy day ramadan mubarak ,assalam walikam good morning everybody beautiful morning wishing happy day ramadan mubarak
"['assalamualaikum', 'meal', 'fajr', 'ramadan', 'called']",assalamualaikum meal fajr ramadan called,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,assalamualaikum meal fajr ramadan called,assalamualaikum meal fajr ramadan called
"['assalamualaykum', 'question', 'surah', 'first', 'revealed', 'ramadan']",assalamualaykum question surah first revealed ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,assalamualaykum question surah first revealed ramadan,assalamualaykum question surah first revealed ramadan
"['astronomer', 'visionary', 'expert', 'abdullah', 'al-khudairi', 'states', 'astronomically', 'first', 'day', 'blessed', 'month', 'ramadan', 'saturday', 'march', 'st']",astronomer visionary expert abdullah al-khudairi states astronomically first day blessed month ramadan saturday march st,2,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.8074}",0.0,0.64,0.36,0.8074,neutral,astronomer visionary expert abdullah al-khudairi states astronomically first day blessed month ramadan saturday march st,astronomer visionary expert abdullah state astronomically first day blessed month ramadan saturday march st
"['ate', 'lunch', 'today', 'thank', 'farmer', 'eat', 'lunch', 'today', 'thank', 'aurangzeb', 'ramadan']",ate lunch today thank farmer eat lunch today thank aurangzeb ramadan,2,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.0,0.643,0.357,0.6124,neutral,ate lunch today thank farmer eat lunch today thank aurangzeb ramadan,ate lunch today thank farmer eat lunch today thank aurangzeb ramadan
"['atheist', 'pm', 'keir', 'starmer', 'globalist', 'king', 'charles', 'made', 'big', 'deal', 'ramadan', 'yesterday', 'said', 'nothing', 'ask', 'wednesday', 'lent', 'today', 'woke', 'enemies', 'western', 'civilisation']",atheist pm keir starmer globalist king charles made big deal ramadan yesterday said nothing ask wednesday lent today woke enemies western civilisation,2,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4939}",0.132,0.868,0.0,-0.4939,neutral,atheist pm keir starmer globalist king charles made big deal ramadan yesterday said nothing ask wednesday lent today woke enemies western civilisation,atheist pm keir starmer globalist king charles made big deal ramadan yesterday said nothing ask wednesday lent today woke enemy western civilisation
"['attacks', 'muslims', 'continue', 'ramadan', 'india']",attacks muslims continue ramadan india,2,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}",0.42,0.58,0.0,-0.4404,neutral,attacks muslims continue ramadan india,attack muslim continue ramadan india
"['avoid', 'common', 'mistake', 'maghrib', 'salah', 'ramadan']",avoid common mistake maghrib salah ramadan,0,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.5574}",0.535,0.465,0.0,-0.5574,negative,avoid common mistake maghrib salah ramadan,avoid common mistake maghrib salah ramadan
"['back', 'dreamies', 'content', 'ramadan', 'month']",back dreamies content ramadan month,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,back dreamies content ramadan month,back dreamies content ramadan month
"['bangladesh', 'hindu', 'women', 'abducted', 'r', 'murdered', 'khulna', 'district', 'terrorists', 'jamat-e-islami', 'dozen', 'types', 'incidents', 'happened', 'within', 'week', 'victims', 'hindu', 'christian', 'buddhists', 'ramadan', 'become', 'scary', 'non', 'muslims', 'bangladesh']",bangladesh hindu women abducted r murdered khulna district terrorists jamat-e-islami dozen types incidents happened within week victims hindu christian buddhists ramadan become scary non muslims bangladesh,2,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.9538}",0.452,0.548,0.0,-0.9538,neutral,bangladesh hindu women abducted r murdered khulna district terrorists jamat-e-islami dozen types incidents happened within week victims hindu christian buddhists ramadan become scary non muslims bangladesh,bangladesh hindu woman abducted r murdered khulna district terrorist dozen type incident happened within week victim hindu christian buddhist ramadan become scary non muslim bangladesh
"['barcelona', 'prepared', 'special', 'diet', 'plan', 'take', 'care', 'lamine', 'ansu', 'ramadan', 'fcblive']",barcelona prepared special diet plan take care lamine ansu ramadan fcblive,2,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.7783}",0.0,0.506,0.494,0.7783,neutral,barcelona prepared special diet plan take care lamine ansu ramadan fcblive,barcelona prepared special diet plan take care lamine ansu ramadan fcblive
"['bauchi', 'state', 'orders', 'five-week', 'school', 'closure', 'ramadan', 'bauchi', 'state', 'government', 'mandated', 'five-week', 'school', 'closure', 'feb', 'april', 'ramadan', 'affecting', 'public', 'private', 'schools']",bauchi state orders five-week school closure ramadan bauchi state government mandated five-week school closure feb april ramadan affecting public private schools,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,bauchi state orders five-week school closure ramadan bauchi state government mandated five-week school closure feb april ramadan affecting public private schools,bauchi state order school closure ramadan bauchi state government mandated school closure feb april ramadan affecting public private school
"['beautiful', 'time', 'year', 'may', 'allah', 'accept', 'good', 'deeds', 'answer', 'prayers', 'ramadan', 'mubarak']",beautiful time year may allah accept good deeds answer prayers ramadan mubarak,1,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.8555}",0.0,0.489,0.511,0.8555,positive,beautiful time year may allah accept good deeds answer prayers ramadan mubarak,beautiful time year may allah accept good deed answer prayer ramadan mubarak
"['beginning', 'holy', 'season', 'lent', 'good', 'company', 'islamic', 'neighbors', 'celebrating', 'ramadan', 'jewish', 'neighbors', 'getting', 'ready', 'passover']",beginning holy season lent good company islamic neighbors celebrating ramadan jewish neighbors getting ready passover,2,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8442}",0.0,0.569,0.431,0.8442,neutral,beginning holy season lent good company islamic neighbors celebrating ramadan jewish neighbors getting ready passover,beginning holy season lent good company islamic neighbor celebrating ramadan jewish neighbor getting ready passover
"['belgian', 'football', 'league', 'implemented', 'special', 'ramadan', 'breaks', 'matches', 'players', 'fasting', 'day', 'get', 'food', 'water', 'fast', 'breaks', '']",belgian football league implemented special ramadan breaks matches players fasting day get food water fast breaks,2,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",0.0,0.847,0.153,0.4019,neutral,belgian football league implemented special ramadan breaks matches players fasting day get food water fast breaks ,belgian football league implemented special ramadan break match player fasting day get food water fast break
"['believe', 'football', 'match', 'stopped', 'player', 'taking', 'fluids', 'ramadan', '', 'mnuful']",believe football match stopped player taking fluids ramadan mnuful,2,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",0.192,0.808,0.0,-0.2263,neutral,believe football match stopped player taking fluids ramadan  mnuful,believe football match stopped player taking fluid ramadan mnuful
"['best', 'adhkar', 'quran', 'finish', 'ramadan']",best adhkar quran finish ramadan,1,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.0,0.488,0.512,0.6369,positive,best adhkar quran finish ramadan,best adhkar quran finish ramadan
"['best', 'deed', 'ramadan']",best deed ramadan,1,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.0,0.323,0.677,0.6369,positive,best deed ramadan,best deed ramadan
"['best', 'times', 'make', 'du a', 'ramadan', '']",best times make du a ramadan,2,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.0,0.543,0.457,0.6369,neutral,best times make du a ramadan ,best time make du ramadan
"['best', 'video', 'watched', 'internet', 'ramadan', 'subhanallah', 'said', 'spent', 'entire', 'life', 'helping', 'others', 'first', 'time', 'received', 'help']",best video watched internet ramadan subhanallah said spent entire life helping others first time received help,2,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8442}",0.0,0.588,0.412,0.8442,neutral,best video watched internet ramadan subhanallah said spent entire life helping others first time received help,best video watched internet ramadan subhanallah said spent entire life helping others first time received help
"['best', 'way', 'enter', 'month', 'ramadan', '']",best way enter month ramadan,1,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.0,0.488,0.512,0.6369,positive,best way enter month ramadan ,best way enter month ramadan
"['bishops', 'bergoglian', 'church', 'give', 'good', 'wishes', 'beginning', 'ramadan', 'president', 'trump', 'first', 'lady', 'give', 'lenten', 'wishes', 'catholics', 'abandoned', 'pastors']",bishops bergoglian church give good wishes beginning ramadan president trump first lady give lenten wishes catholics abandoned pastors,2,"{'neg': 0.13, 'neu': 0.606, 'pos': 0.264, 'compound': 0.2732}",0.13,0.606,0.264,0.2732,neutral,bishops bergoglian church give good wishes beginning ramadan president trump first lady give lenten wishes catholics abandoned pastors,bishop bergoglian church give good wish beginning ramadan president trump first lady give lenten wish catholic abandoned pastor
"['bishops', 'cared', 'catholic', 'teaching', 'tradition', 'much', 'religions', '']",bishops cared catholic teaching tradition much religions,2,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.0,0.682,0.318,0.4215,neutral,bishops cared catholic teaching tradition much religions ,bishop cared catholic teaching tradition much religion
"['blessed', 'generous', 'ramadan']",blessed generous ramadan,1,"{'neg': 0.0, 'neu': 0.122, 'pos': 0.878, 'compound': 0.802}",0.0,0.122,0.878,0.802,positive,blessed generous ramadan,blessed generous ramadan
"['blessed', 'ramadan', 'around', 'world']",blessed ramadan around world,1,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.5994}",0.0,0.435,0.565,0.5994,positive,blessed ramadan around world,blessed ramadan around world
"['blessings', 'leave', 'speechless', 'standing', 'kaaba', 'ramadan', 'one', 'alhamdulillah', 'papa', 'may', 'always', 'every', 'prayer', 'every', 'moment', '', 'makkah', 'ramadan', 'umrah']",blessings leave speechless standing kaaba ramadan one alhamdulillah papa may always every prayer every moment makkah ramadan umrah,2,"{'neg': 0.058, 'neu': 0.773, 'pos': 0.169, 'compound': 0.5106}",0.058,0.773,0.169,0.5106,neutral,blessings leave speechless standing kaaba ramadan one alhamdulillah papa may always every prayer every moment  makkah ramadan umrah,blessing leave speechless standing kaaba ramadan one alhamdulillah papa may always every prayer every moment makkah ramadan umrah
"['blt', 'activists', 'harassing', 'abusing', 'stalking', 'hijab', 'holy', 'month', 'ramadan', 'saying', 'good', 'muslim', 'men', 'islamic']",blt activists harassing abusing stalking hijab holy month ramadan saying good muslim men islamic,2,"{'neg': 0.319, 'neu': 0.539, 'pos': 0.142, 'compound': -0.5574}",0.319,0.539,0.142,-0.5574,neutral,blt activists harassing abusing stalking hijab holy month ramadan saying good muslim men islamic,blt activist harassing abusing stalking hijab holy month ramadan saying good muslim men islamic
"['br', 'muneeb', 'watching', 'framadan', 'resolutions', 'providence', 'st', 'vincent s', 'hospital', 'inspiring', 'ramres']",br muneeb watching framadan resolutions providence st vincent s hospital inspiring ramres,2,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0,0.797,0.203,0.4215,neutral,br muneeb watching framadan resolutions providence st vincent s hospital inspiring ramres,br muneeb watching framadan resolution providence st vincent hospital inspiring ramres
